id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
22503477,A comfy apartment,158461160,Sophia,Brooklyn,Bedford-Stuyvesant,40.68124,-73.9456,Entire home/apt,60,30,4,2019-05-12,0.28,6,299
22503721,2 bedroom 1 bathroom kitchen and living area,165109723,Monica,Queens,Queens Village,40.70383,-73.73416,Private room,120,3,0,,,1,83
22503885,Beautiful Apartment in Central Harlem,2694297,Dana,Manhattan,Harlem,40.81685,-73.93711,Entire home/apt,95,3,3,2019-06-30,0.2,1,78
22504678,Manhattan Palace Presidential Suite,122786340,Joseph,Manhattan,Upper West Side,40.80115,-73.96524,Private room,70,1,0,,,1,0
22505049,Beautiful & sunny large room in a gorgeous apt.,138768335,Maria,Brooklyn,East Flatbush,40.65547,-73.92567,Private room,40,30,7,2019-06-10,0.44,2,317
22505480,"Studio in Luxury Building - UWS - Indoor Pool, Gym",126687208,Priscilla,Manhattan,Upper West Side,40.79334,-73.96388,Private room,132,6,0,,,1,0
22510428,"Harlem-Sugar Hill gracious apt, great location.",165099226,Karen,Manhattan,Harlem,40.82601,-73.9433,Private room,45,1,1,2018-04-09,0.07,1,0
22510506,Prívate room,165003654,Rocio,Bronx,Norwood,40.87396,-73.87785,Private room,26,30,24,2019-01-15,1.39,1,303
22511108,Historical home N.shore Staten Isl. nr FREE ferry.,128338539,Reuben,Staten Island,Stapleton,40.6322,-74.07913,Entire home/apt,95,30,25,2018-11-14,1.47,4,178
22512408,"Lovely, river view oasis!",28400686,Joyce,Manhattan,Roosevelt Island,40.76241,-73.94878,Private room,78,7,0,,,1,0
22512917,"Spacious, Sunlit, Master Bedroom in Brooklyn",10743035,Fahmida,Brooklyn,Prospect Heights,40.67579,-73.96514,Private room,75,2,0,,,1,0
22513363,AMAZING Greenpoint/Williamsburg PRIVATE Room,2818775,Elena,Brooklyn,Greenpoint,40.73304,-73.95125,Private room,75,1,16,2019-05-19,1.08,1,280
22513387,Stellar Crown Heights Location! (Private Bdrm),27854445,Kate,Brooklyn,Crown Heights,40.67632,-73.95535,Private room,50,4,0,,,1,0
22514364,1D  Private Rm  in Guesthouse Manhattan,7831209,Bobi,Manhattan,East Harlem,40.80686,-73.93822,Private room,50,1,13,2019-05-28,0.81,10,365
22514608,"Hamilton Heights Sunny Studio, Manhattan",23834677,Kumar,Manhattan,Harlem,40.82788,-73.94441,Entire home/apt,105,1,111,2019-07-06,6.08,2,238
22514661,Spacious apartment near East Village and LES,28248849,Stephen,Manhattan,East Village,40.72181,-73.98146,Entire home/apt,149,3,1,2018-01-15,0.06,1,0
22514949,"Bright, cozy room in UWS next to Central Park",59385671,Yiran,Manhattan,Upper West Side,40.80055,-73.96078,Private room,54,3,0,,,1,0
22515329,2 bedroom apartment in harlem,118182048,Alan,Manhattan,East Harlem,40.8141,-73.93602,Entire home/apt,100,1,8,2018-10-13,0.56,1,12
22515792,Private Bedroom in Brownstone Near Subway,40176101,Brady,Brooklyn,Bedford-Stuyvesant,40.69004,-73.92993,Private room,89,1,92,2019-06-26,5.1,7,11
22516244,"Prospect Park, Lefferts Garden Townhouse",705450,Conor,Brooklyn,Prospect-Lefferts Gardens,40.66215,-73.95187,Entire home/apt,80,3,4,2018-05-18,0.24,1,0
22516361,Cozy & artsy apt in East Village - 2 bedrooms,26583247,Frannie,Manhattan,East Village,40.7316,-73.98507,Entire home/apt,132,7,0,,,1,0
22516600,Private Room for 2,112901574,Nate,Brooklyn,Bedford-Stuyvesant,40.6905,-73.93312,Private room,50,1,14,2019-06-16,0.78,4,306
22516899,"A Quiet, Sunny Gem in Crown Heights",76426686,Bunge,Brooklyn,Crown Heights,40.6687,-73.93628,Private room,50,5,0,,,1,0
22517063,Home away from home,122283834,Eve,Queens,Cambria Heights,40.69807,-73.74432,Private room,50,5,0,,,2,96
22518038,Brooklyn Heights Getaway,2203467,Meahgan,Brooklyn,Brooklyn Heights,40.69379,-73.99753,Entire home/apt,300,3,10,2019-06-16,0.62,1,22
22518123,15 to JFK/LGA 30 to Manhattan.Close to St John’s,165307387,K,Queens,Jamaica Estates,40.71248,-73.78896,Entire home/apt,85,1,88,2019-06-27,5.14,1,339
22522733,Like your Private (artist / railroad) Apartment,165360098,Rose,Brooklyn,Williamsburg,40.71868,-73.95917,Private room,80,3,1,2019-06-20,1.0,1,84
22524272,Private room in luxury SoHo Loft,5758215,Marcus,Manhattan,SoHo,40.72293,-74.00361,Private room,350,3,0,,,1,173
22527937,Private Double Room in Midtown NYC/Times Square,10022878,Peter,Manhattan,Hell's Kitchen,40.76256,-73.98935,Private room,65,3,15,2019-07-06,0.88,1,31
22529131,Lower East Side- Perfect 1 Bedroom! #12,158969505,Karen,Manhattan,Lower East Side,40.7211,-73.99321,Entire home/apt,180,30,2,2018-09-15,0.16,9,151
22529259,"Cozy 2 Bedroom apartment, Feel like home!",1533576,Eva,Brooklyn,Bedford-Stuyvesant,40.69336,-73.95171,Entire home/apt,111,6,2,2018-10-27,0.18,1,43
22529877,Cosy.,156505456,John,Brooklyn,East New York,40.66254,-73.88896,Private room,35,3,18,2019-03-17,1.02,13,79
22530070,Suite 18 - Private Room w/ bath,99296570,Daisy,Brooklyn,Brighton Beach,40.58195,-73.95789,Private room,30,1,70,2019-06-23,3.97,5,193
