id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
27141191,NewlyBuilt+Terrace 3min▶︎Subway 30min Manhattan,19303369,Hiroki,Queens,Elmhurst,40.74022,-73.87614,Private room,34,30,0,,,37,0
27142225,Lovely Brownstone in Brooklyn Heights,624101,Zak,Brooklyn,Brooklyn Heights,40.69176,-73.99336,Entire home/apt,132,3,6,2019-05-27,0.55,1,0
27143808,Modern studio apt with full kitchen and bath,13031306,Rachael,Manhattan,Harlem,40.82372,-73.95122,Private room,80,2,19,2018-12-03,1.71,1,0
27149449,LUXURY 1BR ON EAST 44TH~DOORMAN/LAUNDRY,200380610,Pranjal,Manhattan,Midtown,40.75019,-73.97045,Entire home/apt,225,30,0,,,65,310
27149630,SPACIOUS 2BR 2 BATH IN UPPER EAST SIDE,200380610,Pranjal,Manhattan,Upper East Side,40.77093,-73.95873,Entire home/apt,285,30,0,,,65,365
27150644,LUXURY DOORMAN STUDIOS ON EAST 44th,200380610,Pranjal,Manhattan,Midtown,40.75237,-73.9704,Entire home/apt,190,30,0,,,65,364
27154602,"Master Suite w/ King Bed, Backyard",1418015,Reuben,Brooklyn,Crown Heights,40.6756,-73.95232,Private room,140,2,41,2019-06-29,3.69,4,334
27156129,Charming townhouse apartment,1441920,Llewellyn,Brooklyn,Bedford-Stuyvesant,40.68167,-73.93608,Entire home/apt,87,2,0,,,1,0
27156174,Beautiful & Big Room with Balcony in Astoria,64453547,Onur,Queens,Ditmars Steinway,40.77377,-73.9048,Private room,50,15,0,,,3,0
27157649,SPACIOUS Bedroom with PRIVATE BATHROOM & ROOF,22264156,Raghav,Brooklyn,Clinton Hill,40.69456,-73.96439,Private room,120,1,3,2019-05-30,0.63,1,0
27159331,Awesome New York Apartment Close to it All!,30595682,Michael,Manhattan,Hell's Kitchen,40.76795,-73.98432,Entire home/apt,165,2,11,2019-06-02,1.04,1,2
27159664,Beautiful Sunny Private Bedroom in Brooklyn (JMZ),53365451,Brigid,Brooklyn,Bedford-Stuyvesant,40.6939,-73.93239,Private room,50,6,2,2019-01-01,0.18,1,0
27160398,Clean + Spacious.,204244117,Patrola,Manhattan,Harlem,40.82423,-73.95056,Private room,49,1,27,2019-06-12,2.41,2,180
27160493,曼哈顿/帝国大夏/ time square【2】,107245546,Michael,Manhattan,Chelsea,40.74756,-73.99072,Private room,165,2,5,2019-07-02,3.0,3,93
27160938,Gorgeous light filled Brooklyn Brownstone,12337810,Praise,Brooklyn,Bedford-Stuyvesant,40.68625,-73.94045,Entire home/apt,192,1,2,2018-08-27,0.17,1,0
27161183,Sumpter Suites,204495302,Judy,Brooklyn,Bedford-Stuyvesant,40.68049,-73.91918,Entire home/apt,150,2,17,2019-06-17,2.34,1,0
27161388,Brooklyn Town House,2381030,Terry,Brooklyn,Fort Greene,40.68876,-73.97048,Entire home/apt,1200,3,1,2018-08-15,0.09,1,0
27161807,3 Private Rooms in Full Floor East Village Apt,134613498,Adonis,Manhattan,East Village,40.72673,-73.98766,Private room,415,1,2,2018-12-23,0.23,7,0
27162696,Sweet BR (A) in owner's duplex very near subway,35983559,Laura,Brooklyn,East Flatbush,40.63956,-73.95033,Private room,75,3,10,2019-06-30,0.91,3,123
27163003,Bright Brooklyn Oasis 1 Block from Subway,103681571,Paige,Brooklyn,Bedford-Stuyvesant,40.69149,-73.96043,Private room,60,2,5,2019-05-22,0.48,1,2
