id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
30531143,Cozy Home 家 5,213781715,Anting,Brooklyn,Greenpoint,40.73378,-73.95569,Private room,199,1,0,,,33,180
30531163,"Private Room in Top Floor Apartment, heart of NYC",218526982,Liz,Manhattan,Lower East Side,40.72165,-73.98693,Private room,110,1,0,,,2,0
30531246,"Luxury Apt, 1 BR, Stainless Steel Appliances",226201658,Vanessa,Brooklyn,Williamsburg,40.70755,-73.94892,Entire home/apt,90,30,2,2019-04-05,0.45,3,314
30531270,One of a kind Brooklyn waterfront loft & rooftop,8187816,Mona & Miko,Brooklyn,Williamsburg,40.71025,-73.96921,Entire home/apt,550,7,0,,,1,20
30531585,The Williamsburg Artist's Pad,6349101,Michael,Brooklyn,Williamsburg,40.71058,-73.93912,Entire home/apt,111,5,1,2018-12-08,0.14,1,0
30531695,Boho tranquil room in bushwick/ridgewood,227682707,Michelle,Queens,Ridgewood,40.70383,-73.91171,Private room,60,2,2,2018-12-30,0.29,1,0
30531953,SUPERIOR KING ROOM -PRIME WILLIAMSBURG,198861577,Novo,Brooklyn,Williamsburg,40.72132,-73.95463,Private room,295,1,2,2019-04-04,0.6,5,90
30532068,Astorias spacious room in a historical mansion!!,229104353,Abram,Queens,Astoria,40.77606,-73.92804,Private room,91,2,0,,,2,341
30533086,"Cozy, Sunny Studio in the heart of Central Harlem.",55970820,Tashina,Manhattan,Harlem,40.81785,-73.93989,Entire home/apt,54,30,0,,,1,0
30533273,Your own little apartment in New York,140497439,Margarita,Manhattan,Washington Heights,40.83658,-73.94088,Entire home/apt,55,7,2,2019-04-20,0.33,1,0
30533835,"Quiet, comfortable and clean bedroom on UWS",9930986,Julio,Manhattan,Upper West Side,40.80152,-73.96673,Private room,110,1,0,,,1,0
30535180,Cozy poet’s room in Central Manhattan,14254368,Jiaoyang,Manhattan,Murray Hill,40.7503,-73.97747,Private room,75,4,0,,,1,87
30535751,Townhouse for 12 close to the city & w free gym,105367031,Miriam,Brooklyn,Bushwick,40.68162,-73.90593,Entire home/apt,325,2,8,2019-06-24,2.38,5,342
30535813,Cozy room in heart of NYC,98260543,Ley,Manhattan,Upper East Side,40.76981,-73.95365,Private room,135,1,11,2019-06-28,1.75,3,330
30535905,Charming 1 Bedroom Apartment in Carroll Gardens,229124258,Jett,Brooklyn,Carroll Gardens,40.67775,-74.00131,Entire home/apt,79,10,0,,,1,19
30536087,Time Square South Deluxe King Room,224414117,Gabriel,Manhattan,Hell's Kitchen,40.75622,-73.99683,Private room,179,1,12,2019-06-07,1.69,30,175
30536585,"Bright, spacious en-suite room in co-living house",1418015,Reuben,Brooklyn,Crown Heights,40.67441,-73.95235,Private room,80,2,10,2019-07-01,1.57,4,2
30537134,Flushing downtown  luxury suite,228879817,Vicky,Queens,Flushing,40.74449,-73.83476,Private room,80,1,10,2019-06-24,1.41,6,169
30537221,Spacious beautifully designed modern 2-bedroom,3137237,Oleg,Manhattan,Morningside Heights,40.81068,-73.9582,Entire home/apt,175,1,1,2018-12-30,0.16,1,0
30537849,NEW GARDEN APT IN THE HEART OF PARK SLOPE,21527486,Michele,Brooklyn,Park Slope,40.673,-73.97721,Entire home/apt,211,3,8,2019-06-11,1.2,1,90
30537851,Upper West Side 3-bedroom,81009456,Carolina,Manhattan,Upper West Side,40.80368,-73.96662,Entire home/apt,133,1,2,2018-12-29,0.28,1,0
30538323,Queens Garden,10748308,Raquel,Queens,Kew Gardens,40.7048,-73.83384,Entire home/apt,200,3,0,,,1,0
30538753,Beauitful spacious Loft apartment,854567,Oketo,Brooklyn,Bedford-Stuyvesant,40.69202,-73.95456,Private room,1350,21,0,,,2,365
30539100,Clean Airy 1-Bedroom Apartment in Gowanus,227915163,Stephen,Brooklyn,Gowanus,40.66871,-73.99038,Entire home/apt,70,6,1,2018-12-10,0.14,1,0
30539227,NEWLY AVAILABLE  - Just TWO BLOCKS away from LGA,229149810,Tussan,Queens,East Elmhurst,40.76887,-73.8741,Private room,75,1,33,2019-07-06,4.63,3,81
30539229,Heart of Little Italy / Soho,49223549,Michael,Manhattan,Little Italy,40.72007,-73.99695,Entire home/apt,250,1,0,,,1,0
30539307,Cozy 1Bedroom Loft Style living (The entire Floor),229149668,Paul,Brooklyn,Bedford-Stuyvesant,40.68294,-73.95451,Entire home/apt,150,3,26,2019-07-07,3.79,1,93
30539902,Sunny 1BR in Williamsburg/Greenpoint,4169001,Lani,Brooklyn,Williamsburg,40.72006,-73.94593,Entire home/apt,175,5,0,,,1,0
30540323,NYC East Village Doorman Unit with Private Rooftop,55403309,Justin,Manhattan,East Village,40.7249,-73.98174,Entire home/apt,240,3,1,2019-01-03,0.16,2,0
30541377,Beautiful Private Room in Harlem/Hamilton Height,60939718,Tisya,Manhattan,Harlem,40.82576,-73.94454,Private room,43,5,1,2018-12-20,0.15,1,0
30541439,Brooklyn room with Empire State building view,56665831,Perrine,Brooklyn,Bedford-Stuyvesant,40.68947,-73.95269,Private room,99,5,1,2019-01-02,0.16,1,0
30541504,"Spacious, sunny room in hip neighbourhood!",21132706,Gjermund,Brooklyn,Bedford-Stuyvesant,40.69492,-73.94958,Private room,50,3,0,,,1,25
30542320,Clean music/film themed bedroom,212466724,Estevan,Brooklyn,Bushwick,40.68667,-73.9154,Private room,37,5,0,,,1,0
30546334,Renovated. Nice & clean 1/F RM in BK. Superhost!,137358866,Kazuya,Brooklyn,Bushwick,40.69177,-73.9135,Private room,41,30,2,2019-03-31,0.41,103,186
30547975,GARDEN APARTMENT IN CLINTON HILL,31792728,Heather,Brooklyn,Clinton Hill,40.68414,-73.95976,Entire home/apt,125,2,30,2019-07-07,4.59,1,243
30548591,FEMALE SHARED ROOM3 Single Beds Near Subway-3,172369331,Abby,Brooklyn,Coney Island,40.57863,-73.98455,Shared room,29,18,1,2019-02-15,0.21,10,221
30551020,2BR in Williamsburg | One block from Hewes JMZ,2324779,Erik,Brooklyn,Williamsburg,40.70898,-73.95391,Entire home/apt,250,6,1,2018-12-31,0.16,1,0
