id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
3496384,Interfaith Retreat Guest Rooms (Om),16677326,Alex And Zeena,Manhattan,Chelsea,40.74977,-73.99647,Private room,85,1,145,2019-06-24,3.48,12,342
3496438,NYC 1BD near Central Park & Shops,17604079,Meghan,Manhattan,Harlem,40.80724,-73.94739,Entire home/apt,170,1,1,2014-08-05,0.02,1,0
3499016,House 1 Bed $100/ night per person,17618198,Edvaldo,Queens,Ditmars Steinway,40.77902,-73.90768,Private room,100,2,2,2014-09-22,0.03,1,365
3499174,"One of a Kind, Penthouse Apartment ",6145540,Eddie,Manhattan,Nolita,40.7208,-73.99436,Entire home/apt,350,4,8,2017-05-06,0.13,1,196
3499251,Classic Upper West Side studio loft,10034987,Izzy,Manhattan,Upper West Side,40.78273,-73.97319,Entire home/apt,199,3,25,2016-12-31,0.42,1,0
3499326,"Sunny, Tall Artsy Loft @ Williamsburg",380728,Ligeia,Brooklyn,Williamsburg,40.71119,-73.96703,Private room,77,6,17,2015-09-01,0.29,1,188
3504289,Cheap accommodation in Manhattan,11308483,Nathan,Manhattan,Kips Bay,40.73877,-73.98171,Private room,80,1,2,2014-07-11,0.03,1,0
3507112,"#1 PRIVATE STUDIO IN BX,15MINS NYC.",17658078,Richard,Bronx,Mott Haven,40.81049,-73.9043,Private room,79,2,11,2016-03-19,0.19,1,0
3509822,"Cute Room, Courteous Hosts",17671787,Nicole,Brooklyn,Bushwick,40.69601,-73.92236,Private room,550,3,5,2015-06-05,0.1,1,358
3510929,Apartment in beautiful Brooklyn Heights,130216,Maria,Brooklyn,Brooklyn Heights,40.69088,-73.99416,Entire home/apt,155,5,7,2018-07-17,0.12,1,17
3511778,10th St / W Village  Junior Loft,17681072,Brooks,Manhattan,Greenwich Village,40.73331,-73.9941,Entire home/apt,275,30,12,2016-09-25,0.2,1,358
3511883,Williamsburg Garden Escape,17347754,Benjamin,Brooklyn,Williamsburg,40.71187,-73.93593,Entire home/apt,119,2,10,2017-10-09,0.18,1,0
3511898,"Cute & Cozy Greenpoint Apt, Great Location",17682043,Adi,Brooklyn,Greenpoint,40.73689,-73.95488,Entire home/apt,85,20,5,2017-07-31,0.09,1,0
3511934,Beautiful West Harlem brownstone,17682312,Arnold,Manhattan,Harlem,40.82947,-73.95104,Private room,84,1,0,,,1,0
3512428,Lovely room in doorman building,17616305,Gabrielle,Manhattan,Harlem,40.82774,-73.9508,Private room,90,2,127,2019-07-06,2.15,1,58
3512620,Garden Floor Duplex with patio,617127,Amy,Brooklyn,Crown Heights,40.67619,-73.94389,Entire home/apt,135,5,53,2019-06-24,0.9,1,191
3513303,CHEAP BIG room in Williamsburg,4904811,Megan,Brooklyn,Williamsburg,40.70848,-73.95323,Private room,90,3,230,2019-06-16,3.79,1,125
3513662,Luxury 2 bed apt in WILLIAMSBURG BK,6153186,Michael,Brooklyn,Williamsburg,40.71784,-73.95521,Entire home/apt,150,1,5,2015-12-17,0.08,1,0
3513960,AMAZING ROOM ARTSY BKLYN BROWNSTONE,4847926,Shelley,Brooklyn,Flatbush,40.64246,-73.95443,Private room,38,3,76,2019-06-03,1.3,3,253
3517621,Amazing Renovated studio MurrayHill,1475015,Mike,Manhattan,Kips Bay,40.74318,-73.97858,Entire home/apt,87,30,4,2019-06-30,0.07,52,343
3517646,"Spacious, light-filled home by Prospect Park",17711637,Carrie,Brooklyn,Kensington,40.6451,-73.97798,Entire home/apt,210,5,3,2018-08-13,0.05,1,0
3518682,Beautiful Room in Park-Side Apt,5407403,Marissa,Manhattan,Inwood,40.86176,-73.93082,Private room,80,2,50,2017-05-21,0.83,1,6
3519172,Gallery Suite,17719747,Rhonda,Brooklyn,Fort Greene,40.68902,-73.96976,Entire home/apt,250,3,20,2019-06-23,0.39,1,323
3521162,Studio in the heart of Chelsea,17730490,Ashley,Manhattan,Chelsea,40.74252,-73.9975,Entire home/apt,175,1,18,2016-05-11,0.31,1,0
3522244,Charming Brooklyn Room,922478,Brad,Brooklyn,Clinton Hill,40.6825,-73.95888,Private room,65,1,52,2019-06-09,0.87,2,82
3522329,East Village 1 Bedroom,17737666,Allie,Manhattan,East Village,40.73136,-73.98714,Entire home/apt,140,1,48,2016-01-17,0.81,1,0
3522513,Central Park home away from home,17739111,Christopher,Manhattan,Harlem,40.80297,-73.95132,Entire home/apt,129,4,17,2019-06-24,0.28,1,64
3522539,"Musician's Loft 1BR w/ Outdoor Space, WiFi, Parks",515946,Jonathan,Manhattan,East Village,40.73041,-73.9896,Entire home/apt,159,4,45,2019-06-12,0.75,1,87
3523001,"Lovely Tudor Home with Studio in Queens, NY",10628463,Pat & Ray,Queens,Fresh Meadows,40.75037,-73.79154,Private room,125,7,0,,,1,365
3526122,W Village Apt w/ Private Roof,4254072,Sean,Manhattan,West Village,40.73022,-74.00421,Entire home/apt,249,3,44,2019-06-21,0.74,1,332
3529500,Gorgeous pre war rowhouse apartment,14902860,Velma,Brooklyn,Bedford-Stuyvesant,40.68388,-73.94427,Entire home/apt,151,5,52,2019-06-19,0.91,5,333
3529503,Quiet room+bath w/ separate entry.,6491377,Zaineb,Brooklyn,Bedford-Stuyvesant,40.69334,-73.94608,Private room,79,4,70,2019-06-24,1.19,1,308
3529888,Architect's Oasis,9952523,Fabi,Brooklyn,Crown Heights,40.66919,-73.95079,Entire home/apt,125,3,10,2017-03-10,0.22,1,0
3530122,Cozy Harlem Flat!,228012,Kev,Manhattan,Harlem,40.81792,-73.94236,Entire home/apt,135,5,76,2019-07-06,1.28,1,257
3530395,1 BR in Great NYC Neighborhood,7665324,Edward,Manhattan,Lower East Side,40.72274,-73.99169,Entire home/apt,151,2,5,2019-04-08,0.1,2,46
3530517,2 Story Loft!! Tribeca/Soho :-) best neighborhood,17773625,Josie,Manhattan,Tribeca,40.72113,-74.00478,Entire home/apt,600,3,73,2019-06-14,1.23,1,282
3531018,It's The Brooklyn Way !!!,12291588,Maximus,Brooklyn,Bedford-Stuyvesant,40.68476,-73.92975,Entire home/apt,59,1,142,2019-07-01,2.63,1,318
3531190,"Cozy/Hip LES 2 bedroom, sleeps 2-4",1457351,Michael,Manhattan,Lower East Side,40.72007,-73.99078,Entire home/apt,273,4,85,2019-07-05,1.41,1,91
3531345,Ensuite in Duplex Brownstone with Private Terrace!,12337318,Andrew,Manhattan,Harlem,40.82435,-73.94507,Private room,70,2,28,2019-04-26,0.82,2,80
3531959,Charming Artists in the Heights,17781037,Gideon & Chantal,Manhattan,Harlem,40.82447,-73.95076,Private room,95,1,2,2014-10-20,0.03,1,0
3533180,6BDRM*APT TRAIN TO NYC 15 MIN,254846,Brendan,Brooklyn,Bedford-Stuyvesant,40.68837,-73.9256,Entire home/apt,399,3,49,2019-06-12,0.96,4,269
3533604,Private Room in a two bedroom apt.,9510645,Rylan,Brooklyn,Bushwick,40.70399,-73.92813,Private room,96,1,332,2019-07-06,5.57,2,355
3533669,Charming West Village Apartment,6828085,Ricardo,Manhattan,West Village,40.73622,-74.00147,Shared room,110,1,47,2019-06-03,0.81,1,362
